Precision: .01, Recall: 1.00, Average Precision: 1.00, Reciprocal Rank: 1.00, Precision At Rank 5: .20, Precision At Rank 20: .05
DOCID: CACM-2805, DocREL: true, DocPrecision: 1.00, DocRecall: 1.00
DOCID: CACM-1766, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1047, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1441, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-2544, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1636, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-0537, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1916, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-2177, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-2310, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1147, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1807, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1404, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1709, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1014, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-2106, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1859, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1334, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1771, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1595, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-0495, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-2823, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-2887, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-3059, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1529, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-2261, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1035, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-3036, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1285, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2567, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1045, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1046, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1353, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1577, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1968, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2325, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1524, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1383, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2369, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-0848, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1385, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2990, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-3086, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1384, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2820, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1683, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1369, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2998, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-0492, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1610, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-0758, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-3138, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1415, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1782, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2929, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1601, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2778, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1887, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2488, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1351, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2986, DocREL: false, DocPrecision: .01, DocRecall: 1.00
