Precision: .01, Recall: 1.00, Average Precision: 1.00, Reciprocal Rank: 1.00, Precision At Rank 5: .20, Precision At Rank 20: .05
DOCID: CACM-3077, DocREL: true, DocPrecision: 1.00, DocRecall: 1.00
DOCID: CACM-1854, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1391, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-3160, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-2943, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1409, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-0196, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-2020, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1323, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-3121, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1248, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-3002, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-0071, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1698, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-2969, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1188, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-2886, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-3204, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1046, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2344, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-3069, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2959, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1805, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2060, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2189, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2899, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1066, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1595, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1700, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2390, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-3005, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2856, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2716, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1856, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-0417, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1891, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1029, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2937, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-3031, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1885, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1844, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2194, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1754, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1162, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-1366, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-3091, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2972, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-0616, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2188, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-3144, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2324, DocREL: false, DocPrecision: .01, DocRecall: 1.00
DOCID: CACM-2097, DocREL: false, DocPrecision: .01, DocRecall: 1.00
